Epoch,Loss_Train,Loss_Validation,Interclass_variance_Train,Interclass_variance_Validation,Calinsky-Harabasz_Train,Calinsky-Harabasz_Validate,HI_weight,I_weight,S_weight
0,-6.1638722,-6.815424,6.412118882406503,1.1800828650593758,262090.3,469862.16,0.5,0.5,0.5
1,-6.4043956,-6.9711165,5.532741473331043,1.1602011937648058,221856.81,460423.12,0.5,0.5,0.5
2,-6.595217,-7.048507,5.2790551006821715,1.0952646844089031,207727.28,398675.56,0.5,0.5,0.5
3,-6.6652827,-7.1878295,5.999813908008946,1.1679462855681777,238514.16,451286.16,0.5,0.5,0.5
4,-6.7959914,-7.2419643,5.572074270775829,1.0430326818022877,220184.25,357880.56,0.5,0.5,0.5
5,-6.989713,-7.3194757,5.984879825956796,1.0187400076538324,241630.31,321343.6,0.5,0.5,0.5
6,-6.9785643,-7.370695,5.939353963016401,1.0573716051876545,238673.6,344578.75,0.5,0.5,0.5
7,-7.0150456,-7.4141517,6.3231345184549355,1.1926153525710106,254253.83,467146.25,0.5,0.5,0.5
8,-7.147197,-7.4253216,6.672635430056516,1.204164620488882,282072.2,486415.28,0.5,0.5,0.5
9,-7.1331115,-7.3176503,6.780129737708194,1.2094054035842419,279126.2,493501.12,0.5,0.5,0.5
10,-7.1956625,-7.422893,6.5188927100389265,1.2227529427036643,269029.94,504199.56,0.5,0.5,0.5
11,-7.2826195,-7.516516,6.588669986209425,1.0531430337578058,273954.22,357007.1,0.5,0.5,0.5
12,-7.3086166,-7.563335,6.888604027794827,1.080812070518732,292625.78,379557.66,0.5,0.5,0.5
13,-7.3569503,-7.5393295,6.847732799811638,1.2104060230776668,283236.34,489630.56,0.5,0.5,0.5
14,-7.3771005,-7.568914,7.026084705398716,1.1979388510808349,290010.2,483222.75,0.5,0.5,0.5
15,-7.4011655,-7.578659,6.289859126153715,1.1334828766994178,256541.02,433714.88,0.5,0.5,0.5
16,-7.419318,-7.549216,6.377191234207203,1.0150307668372989,256304.81,321587.44,0.5,0.5,0.5
17,-7.462452,-7.581865,6.609944425192225,1.209185472689569,261030.33,490059.6,0.5,0.5,0.5
18,-7.463566,-7.607689,7.010899716206552,1.1665437538176775,286167.25,446068.34,0.5,0.5,0.5
19,-7.473618,-7.6272645,7.004006346055917,1.2150398697704077,295620.56,492921.6,0.5,0.5,0.5
20,-7.665112,-7.76273,8.25984698942193,1.6045587789267302,356905.6,629736.9,0.6584374904632568,0.32632502913475037,0.31483668088912964
21,-7.6916947,-7.775598,11.489874315144334,1.9470047652721405,488242.25,766782.8,0.7202244400978088,0.21087147295475006,0.21768143773078918
22,-7.7307506,-7.746161,12.668280610806505,2.177053083665669,504091.78,778565.8,0.74407958984375,0.13550372421741486,0.1438237726688385
23,-7.770785,-7.7879596,13.961016478197052,2.356943441554904,508968.97,808647.2,0.7553423643112183,0.10000000149011612,0.10000000149011612
24,-7.7897477,-7.8371234,14.39749968812248,2.3301275447010994,507798.03,786433.1,0.763264000415802,0.10000000149011612,0.10000000149011612
25,-7.848595,-7.792417,14.408225415794732,2.3050550939515233,521339.16,743786.7,0.7696857452392578,0.10000000149011612,0.10000000149011612
26,-7.8472013,-7.8512025,13.59443055360589,2.342201130464673,467184.0,777223.94,0.7768980860710144,0.10000000149011612,0.10000000149011612
27,-7.866388,-7.895635,14.165347720299906,2.2706742798909545,476125.16,703693.94,0.7847941517829895,0.10000000149011612,0.10000000149011612
28,-7.8777313,-7.8547406,13.829711066820892,2.162748305592686,467110.25,633169.44,0.7925852537155151,0.10000000149011612,0.10000000149011612
29,-7.91161,-7.8571243,13.972857016276976,2.3669757395982742,478181.9,796127.7,0.7997270822525024,0.10000000149011612,0.10000000149011612
30,-7.881702,-7.8605704,14.031452305585844,2.3397856494411826,476343.22,766200.8,0.8060457706451416,0.10000000149011612,0.10000000149011612
31,-7.9010954,-7.881565,13.846505002489721,2.2902233554050326,452966.72,718170.7,0.8137816190719604,0.10000000149011612,0.10000000149011612
32,-7.905147,-7.886438,14.641054302657722,2.3362679770216346,490396.06,754056.0,0.8207410573959351,0.10000000149011612,0.10000000149011612
33,-7.959858,-7.7996325,14.19786674730085,1.8317761436337605,472013.1,404512.03,0.8276278376579285,0.10000000149011612,0.10000000149011612
34,-7.940953,-7.9153748,13.787468058853847,2.2680601784959435,477007.2,684428.25,0.8341457843780518,0.10000000149011612,0.10000000149011612
35,-7.979886,-7.929598,14.214250357610581,2.263554419390857,491883.16,681545.6,0.8341457843780518,0.10000000149011612,0.10000000149011612
36,-8.023368,-7.9453125,14.0912632694708,2.2983341002836823,461157.66,713178.5,0.8341457843780518,0.10000000149011612,0.10000000149011612
37,-8.022672,-7.9583087,14.44852556458136,2.2833156483247876,485962.25,698945.0,0.8341457843780518,0.10000000149011612,0.10000000149011612
