idx1,idx2,dtw
0,1,0.009914938965640602
0,2,0.008622607984208813
0,3,0.009435041070392856
0,4,0.009716727774876751
0,5,0.011073737230492695
0,6,0.012470548290189237
0,7,0.013140835787272388
0,8,0.011059918634787353
0,9,0.009776593839849081
0,10,0.010218769830565614
0,11,0.01199424963144645
0,12,0.009501525119255158
0,13,0.008291755128354348
0,14,0.006835243635420435
0,15,0.018813732500815587
0,16,0.011387484002815884
0,17,0.011072413244981325
0,18,0.019533779408718997
0,19,0.012292157778727985
0,20,0.008835053028654803
0,21,0.0482478904729756
0,22,0.060992491949914296
0,23,0.08749133227270196
0,24,0.03828043118085313
0,25,0.023963110607475722
0,26,0.021401464111531654
0,27,0.011466628275733057
0,28,0.012372704848400914
0,29,0.011809890804665192
0,30,0.01579245597603818
0,31,0.011205329661144188
0,32,0.023442168784812607
0,33,0.01675720291340321
0,34,0.05479401556750367
0,35,0.048970443019499675
0,36,0.03911091756319887
0,37,0.014448381026458094
0,38,0.02494382096135733
0,39,0.01892348179551813
0,40,0.020154859567794826
0,41,0.0120549800690017
0,42,0.014119252916358146
0,43,0.03417633501415855
0,44,0.010587479548192336
0,45,0.009968729804796019
0,46,0.03644541865115256
0,47,0.021912930078600387
0,48,0.015791037561982763
0,49,0.02104246953763807
0,50,0.024887701896987156
0,51,0.02886760065102292
0,52,0.009852183017183633
0,53,0.013291074007922407
0,54,0.018569379130873614
0,55,0.02669889750372295
0,56,0.02380321964159729
0,57,0.009627162085338804
0,58,0.010645494362984492
0,59,0.009646620738199812
0,60,0.010657353660581952
0,61,0.004927855285623695
0,62,0.008161289554214352
0,63,0.009768875958880837
0,64,0.009368119872950905
0,65,0.011019328282458272
0,66,0.010010623215389432
0,67,0.011117905549163995
0,68,0.009972326152352265
0,69,0.011679228356359853
0,70,0.008970638525520665
0,71,0.010141799334930661
0,72,0.009879779971506299
0,73,0.009539805103021784
0,74,0.011232754199719993
0,75,0.00836454143723112
0,76,0.00900854455633409
0,77,0.011357029619329589
0,78,0.009662136014083257
0,79,0.011049776062002711
0,80,0.005919979209942704
0,81,0.010904415261230153
0,82,0.006997019052658691
0,83,0.006828543847080108
0,84,0.009178337759680398
0,85,0.012024240883613422
0,86,0.011661967203650649
0,87,0.009605323778923808
0,88,0.010514598179763114
0,89,0.011499071669266486
0,90,0.011520106483272207
0,91,0.006712228567747005
0,92,0.008232329660670733
0,93,0.007215019977214675
0,94,0.01611536565892582
0,95,0.016846836882016013
0,96,0.010080978788457668
0,97,0.009168205931369562
0,98,0.02422253137482637
0,99,0.029763795596773817
0,100,0.06611658863633432
0,101,0.031780469968732704
0,102,0.022843490959024035
0,103,0.017570595350832642
0,104,0.02102834027258609
0,105,0.016454648917014786
0,106,0.03704169300427342
0,107,0.01996333772284519
0,108,0.028249900564602883
0,109,0.025960980060742878
0,110,0.03989169713457939
0,111,0.019434705406243837
0,112,0.046851203566801745
0,113,0.016046445897018004
0,114,0.013480531992086878
0,115,0.010584184322761713
0,116,0.010893342066963397
0,117,0.01125783814360422
0,118,0.010338390313144964
0,119,0.011762755973396063
0,120,0.01184566810868752
0,121,0.012101249672917787
0,122,0.013084182124034838
0,123,0.012316954527283135
0,124,0.011626421070568252
0,125,0.011739566182316795
0,126,0.011328130058056577
0,127,0.012499405850076965
0,128,0.012417734837890325
0,129,0.010084341268783777
0,130,0.012501489108833062
0,131,0.011550609874726897
0,132,0.011634314349494801
0,133,0.01123959534236921
0,134,0.011551852930263999
0,135,0.009824433423448903
0,136,0.008876890774072575
0,137,0.00921413602939343
0,138,0.01023427354228289
